Ausgrid Business Capability Model Definitions,,,Ausgrid Business Capability Model Definitions,,Applications Mapping,Business Ownership
Supporting,3,1.3,Vendor Data Security & Privacy Management,Protecting sensitive data shared with vendors and ensuring they comply with data security and privacy regulations.,,
Supporting,2,1.2,Operational System Management,"The administration and maintenance of IT systems to ensure they run efficiently, securely, and reliably in support of business operations.",,
Supporting,3,1.3,OT/IT Systems Integration,"The process of connecting Operational Technology (OT) systems, such as industrial control systems, with Information Technology (IT) systems to enable data sharing and unified management.",,
Supporting,3,1.3,Disaster Recovery,"A set of policies and procedures to restore critical IT systems and data after a disruption or disaster, minimizing downtime and data loss.",,
Supporting,3,1.3,CILC Compliance Management,"Ensuring adherence to the standards and regulations defined by the Criminal Intelligence and Lawful Compliance (CILC) framework, including data handling, privacy, and operational protocols.",,
Supporting,3,1.3,Technology Risk Management,"Identifying, assessing, and mitigating risks associated with IT systems, data security, and technology operations to ensure resilience and compliance.",,
Supporting,2,1.2,Business Relationship Management,"Cultivating and maintaining strategic relationships with stakeholders to align business and IT objectives, improve collaboration, and enhance service delivery.",,
Supporting,3,1.3,Demand Management,"Identifying, forecasting, and managing customer demand for services and products.",,
Supporting,3,1.3,Stakeholder Engagement & Analysis,"Building and maintaining relationships with stakeholders, understanding their needs and expectations.",,
Supporting,3,1.3,Service Portfolio Management,Managing the collection of services offered to ensure they meet business needs and deliver value.,,
Supporting,3,1.3,Value Realisation & Measurement,Assessing and measuring the value delivered by services and projects to the business.,,
Supporting,3,1.3,Communications & Collaboration,Facilitating effective communication and collaboration between teams and stakeholders.,,
Supporting,3,1.3,Customer Satisfaction & Feedback,Gathering and analyzing customer feedback to improve services and ensure satisfaction.,,
Supporting,3,1.3,Strategic Partnership & Development,Developing and nurturing strategic partnerships to drive business growth and innovation.,,
Supporting,3,1.3,Conflict Resolution & Negotiation,"Managing and resolving conflicts, negotiating agreements to achieve mutually beneficial outcomes.",,
Supporting,3,1.3,Business Impact Analysis,Assessing the potential impact of changes or disruptions on business operations.,,
Supporting,3,1.3,Innovation & Co-Creation,Collaborating with stakeholders to drive innovation and create new solutions.,,
Supporting,3,1.3,Project Closure Management,"Executing formal processes to finalize a project—confirming deliverables, releasing resources, capturing lessons learned, and ensuring stakeholder sign-off",,
Supporting,2,1.2,Computing & Mobility Services Management (EUC),"Managing End-User Computing (EUC) and mobility services to ensure seamless device provisioning, security, and user accessibility across business operations.",,
Supporting,3,1.3,Device Management & Support,"Managing and supporting mobile and endpoint devices to ensure functionality, security, and user productivity.",,
Supporting,3,1.3,Mobile Application Development & Support,"Designing, developing, and maintaining mobile applications to meet business and user needs.",,
Supporting,3,1.3,Connectivity & Network Management,Ensuring reliable and secure network connectivity for mobile and remote users.,,
Supporting,3,1.3,Security & Compliance for Mobile Devices,Implementing policies and tools to protect mobile devices and ensure compliance with regulations.,,
Supporting,3,1.3,User Experience & Support,Enhancing user satisfaction through responsive support and intuitive mobile experiences.,,
Supporting,3,1.3,Integration & Interoperability,Ensuring mobile systems and applications work seamlessly with existing IT infrastructure.,,
Supporting,3,1.3,Performance & Capacity Management,Monitoring and optimizing mobile systems to ensure they meet performance and scalability requirements.,,
Supporting,3,1.3,Mobile Workforce Enablement,Providing tools and support to empower employees to work effectively from mobile devices.,,
Supporting,3,1.3,Unified Endpoint Management,"Centralized management of all endpoint devices including mobile, desktop, and IoT.",,
Supporting,3,1.3,Edge Computing Deployment & Management,Deploying and managing computing resources at the edge of the network to support real-time mobile applications.,,
Supporting,2,1.2,Application Support Management,"Overseeing the maintenance, troubleshooting, and optimization of enterprise applications to ensure reliability, performance, and user satisfaction.",,
Supporting,3,1.3,Incident & Problem Management,"Identifying, logging, and resolving application-related incidents and problems to restore normal service operation.",,
Supporting,3,1.3,Application Monitoring & Performance Management,Continuously tracking application performance and availability to ensure optimal operation.,,
Supporting,3,1.3,"Environment, Change & Release Management",Managing application environments and coordinating changes and releases to minimize disruption.,,
Supporting,3,1.3,User Support & Training,Providing end-user assistance and training to ensure effective use of applications.,,
Supporting,3,1.3,Configuration & Patch Management,Maintaining application configurations and applying patches to address bugs and vulnerabilities.,,
Supporting,3,1.3,Incident Response & Recovery,Responding to and recovering from application incidents to minimize impact and downtime.,,
Supporting,3,1.3,Capacity Planning & Scalability,Ensuring applications can handle current and future workloads through proper resource planning.,,
Supporting,3,1.3,Application Lifecycle Management,Managing the entire lifecycle of an application from development to retirement.,,
Supporting,3,1.3,Custom Application Development & Support,Creating and maintaining tailored applications to meet specific business needs.,,
Supporting,3,1.3,Legacy Application Support & Modernisation,Supporting older applications while planning and executing modernization strategies.,,
Supporting,2,1.2,Solution Delivery Management,"Leading the design, implementation, and integration of technology solutions to meet business requirements, improve efficiency, and drive innovation",,
Supporting,3,1.3,Solution Architecture & Design,Creating the overall structure and design of a solution to meet business and technical requirements.,,
Supporting,3,1.3,Deployment & Release Management,"Planning, scheduling, and controlling the movement of releases to test and live environments.",,
Supporting,3,1.3,Change Management,Managing changes to systems and processes to minimize disruption and ensure successful adoption.,,
Supporting,3,1.3,Performance Monitoring & Optimisation,Continuously tracking and improving the performance of delivered solutions.,,
Supporting,3,1.3,Performance Monitoring & Optimisation,Ensuring users are equipped and motivated to effectively use new solutions through training and support.,,
Supporting,3,1.3,Post Implementation Review,Evaluating the success of a solution after deployment to identify lessons learned and areas for improvement.,,
Supporting,3,1.3,Continuous Improvement,Ongoing efforts to enhance solutions and processes based on feedback and performance data.,,
Supporting,3,1.3,Vendor & Partner Collaboration,Working closely with external vendors and partners to ensure successful solution delivery.,,
Supporting,3,1.3,Sustainability & Scalability Planning,Designing solutions that are environmentally sustainable and capable of growing with business needs.,,
Supporting,3,1.3,Quality Assurance & Testing,"Establishing processes and controls to validate that products, services, or systems meet defined quality standards and function as intended through systematic testing.",,
,,,,,,
Supporting,1,1.1,Stakeholder Management,"The capability to engage and manage relationships with various stakeholders, including government agencies, regulatory bodies, community groups, and industry partners.",,
Supporting,2,1.2,"Government, Peers and Industry Relationship Management","Managing relationships with government bodies, industry peers, and regulatory agencies to ensure compliance, collaboration, and strategic alignment in the energy sector.",,
Supporting,3,1.3,Manage External Stakeholders,"Engaging with external entities such as suppliers, contractors, and community groups to foster partnerships and ensure alignment with operational and regulatory goals.",,
Supporting,3,1.3,Manage Internal Stakeholders,"Coordinating communication and collaboration among internal teams, ensuring alignment with business objectives and regulatory requirements.",,
Supporting,3,1.3,Regulator Stakeholder Engagement,"Interacting with regulatory authorities to ensure compliance with energy policies, advocate for industry needs, and contribute to policy development.",,
Supporting,3,1.3,Local Council Relationship Management,Engaging with municipal councils to align utility projects with local priorities and regulations.,,
Supporting,3,1.3,Community Group Relationship Management,Building trust and collaboration with local community organizations and advocacy groups.,,
Supporting,2,1.2,Public Relationship Management,"Managing public perception and engagement through transparent communication, community outreach, and customer advocacy initiatives.",,
Supporting,3,1.3,Media Relationship Management,"Handling media interactions, press releases, and public statements to maintain a positive brand image and ensure accurate representation of company activities.",,
Supporting,3,1.3,Investor Relationship Management,"Managing relationships with investors and financial stakeholders to ensure transparency, trust, and alignment with business growth and sustainability goals.",,
Supporting,3,1.3,Public Affairs & Policy Management,Managing interactions with public institutions and shaping policy outcomes relevant to utility operations.,,
,,,,,,
Supporting,1,1.1,Enterprise Risk and Compliance,"The capability to identify, assess, and mitigate risks while ensuring compliance with regulatory requirements and industry standards.",,
Supporting,2,1.2,Enterprise Risk Management,"Identifying, assessing, and mitigating risks across energy operations to ensure infrastructure resilience and regulatory compliance.",,
Supporting,3,1.3,Risk Identification & Assessment,Evaluating potential threats that could have a material impact at an organisation level. These can include strategic and operational risks.,,
Supporting,3,1.3,Risk Mitigation & Control,Implementing strategies to minimize risks and enhance operational stability.,,
Supporting,3,1.3,Risk Monitoring & Reporting,Continuously tracking risk factors and providing reports for proactive management.,,
Supporting,3,1.3,Crisis & Incident Management,Responding to emergencies and disruptions to maintain service continuity.,,
Supporting,2,1.2,Regulatory Compliance Management,"Establishing and maintaining an effective compliance management system and processes to meet legal, regulatory and industry standards.",,
Supporting,3,1.3,Compliance Auditing & Reporting,Conducting assessments to verify compliance with regulations and internal policies.,,
Supporting,3,1.3,Policy Development & Implementation,Establishing and enforcing policies & procedures to align with industry standards and legal requirements.,,
Supporting,3,1.3,Training & Awareness Program,Educating employees on compliance requirements and best practices.,,
Supporting,3,1.3,Obligation Management,Implementing processes and controls to ensure regulatory obligations are identified and monitored.,,
Supporting,2,1.2,Audit & Assurance Management,"Conducting internal audits and reviews to assess compliance, operational efficiency, and control effectiveness..",,
Supporting,3,1.3,Audit Planning & Execution,Planning and carrying out audits approved by the Audit Committee to ensure material risks are appropriately covered.,,
Supporting,3,1.3,Internal Control Evaluation,Evaluating business processes to assess control design and operating effectiveness.,,
Supporting,3,1.3,Audit Reporting & Action Tracking,"Documenting audit findings, tracking corrective actions, and ensuring accountability for resolving identified issues to support transparency and compliance.",,
Supporting,2,1.2,Business Continuity Management,"Developing strategies to maintain critical operations during disruptions, ensuring rapid response and recovery.",,
Supporting,3,1.3,Risk Assessment & Business Impact Analysis,Evaluating potential disruptions and their impact on business operations.,,
Supporting,3,1.3,Continuity Planning & Strategy Development,Creating contingency plans to ensure uninterrupted service delivery.,,
Supporting,3,1.3,Incident Response & Crisis Management,Managing emergencies to minimize downtime and operational risks.,,
Supporting,3,1.3,Recovery & Restoration,Implementing recovery strategies to restore normal operations after disruptions.,,
Supporting,3,1.3,Testing & Exercise,Conducting drills and simulations to validate business continuity plans.,,
Supporting,3,1.3,Communication & Stakeholder Engagement,Ensuring clear communication with stakeholders during crises.,,
Supporting,2,1.2,Records Management,Organizing and securing company records to comply with regulatory requirements and ensure efficient data retrieval.,,
Supporting,3,1.3,Record Creation & Capture,Establishing processes for accurate documentation and data collection.,,
Supporting,3,1.3,Record Classification & Organisation,Structuring records for easy access and retrieval.,,
Supporting,3,1.3,Record Retention & Disposal,Managing the lifecycle of records to comply with legal and operational requirements.,,
Supporting,3,1.3,Record Storage & Security,Ensuring secure storage and protection of sensitive information.,,
Supporting,3,1.3,Compliance & Audit Management,Verifying adherence to record-keeping regulations and policies.,,
Supporting,3,1.3,Training Awareness,Educating employees on proper record management practices.,,
Supporting,2,1.2,HSC Compliance,"Managing health, safety, and environmental regulations to protect employees, communities, and infrastructure integrity.",,
Supporting,3,1.3,Regulatory Standards & Policy Management,Establishing and enforcing health and safety policies.,,
Supporting,3,1.3,Compliance Auditing & Reporting,Conducting assessments to ensure adherence to safety regulations.,,
Supporting,3,1.3,Incident Reporting & Investigation,Documenting and analyzing workplace incidents to prevent future occurrences.,,
Supporting,3,1.3,Training & Certification,Providing education and certification programs for safety compliance.,,
Supporting,3,1.3,Stakeholder Engagement & Communication,Collaborating with stakeholders to promote safety initiatives.,,
Supporting,3,1.3,Risk Assessment & Mitigation,Identifying and addressing potential safety hazards.,,
,,,,,,
Supporting,1,1.2,Financial Management,"The capability to effectively manage financial resources, budgeting, and financial reporting to support Ausgrid's financial sustainability and performance.",,
Supporting,2,1.2,Insurance Management,"Administering insurance policies, claims, risk assessments, and compliance requirements to safeguard assets and operations.",,
Supporting,3,1.3,Insurance Policy Management,"Administration of insurance policies, including issuance, renewal, and compliance tracking.",,
Supporting,3,1.3,Claims Management,Processing and evaluating insurance claims to determine coverage and payout.,,
Supporting,3,1.3,Insurance Cost Management,Monitoring and controlling insurance expenses to optimize cost-effectiveness.,,
Supporting,3,1.3,Insurance Strategy & Planning,Developing policies and approaches to ensure effective risk mitigation and financial protection.,,
Supporting,2,1.2,Financial Reporting,"Preparing and analyzing financial statements to ensure transparency, regulatory compliance, and informed decision-making.",,
Supporting,3,1.3,External Reporting,Preparation of financial reports for regulatory agencies and stakeholders outside the organization.,,
Supporting,3,1.3,Generate Management Reporting,Creation of internal financial reports to aid decision-making.,,
Supporting,3,1.3,Manage General Ledger,Oversight and maintenance of financial records summarizing transactions.,,
Supporting,2,1.2,Treasury Operations Management,"Overseeing cash flow, liquidity, investment strategies, and financial instruments to optimize financial stability and performance.",,
Supporting,3,1.3,Cash Management,"Handling liquidity, cash flow, and forecasting to ensure financial stability.",,
Supporting,3,1.3,External Fund Investment,Allocating funds in external investment opportunities to maximize returns.,,
Supporting,3,1.3,Investment Management,"Overseeing financial assets, portfolios, and strategies for profitability.",,
Supporting,3,1.3,Investment Research,Analyzing financial data and trends to support investment decisions.,,
Supporting,3,1.3,Debt Management,"Managing liabilities, repayment strategies, and interest obligations.",,
Supporting,3,1.3,Treasury Accounting,Recording and reconciling financial transactions related to treasury operations.,,
Supporting,2,1.2,Fixed Asset & Project Accounting Management,"Managing capital investments, asset tracking, depreciation, and financial reporting for infrastructure and project expenditures.",,
Supporting,3,1.3,Asset Acquisition,Procuring physical or financial assets to support business operations.,,
Supporting,3,1.3,Asset Management,"Monitoring and optimizing asset utilization, maintenance, and depreciation.",,
Supporting,3,1.3,Asset Retirement,Disposal or decommissioning of assets at the end of their lifecycle.,,
Supporting,3,1.3,Capital Planning & Project Approval,Evaluating and authorizing capital investments for projects.,,
Supporting,3,1.3,Capital Project Accounting,Tracking financial activities related to long-term capital projects.,,
Supporting,2,1.2,Account Payable & Expense Reimbursement,"Processing payments to vendors, managing employee reimbursements, and ensuring financial accuracy and compliance.",,
Supporting,3,1.3,Invoice Management,"Handling vendor invoices, ensuring accuracy, approvals, and timely processing.",,
Supporting,3,1.3,Expense Reimbursements Processing,"Managing employee expense claims, verification, and reimbursement approvals.",,
Supporting,3,1.3,Manage & Process Intercompany Payments,Coordinating and settling financial transactions between related entities or subsidiaries.,,
Supporting,3,1.3,Perform Period-End Activities,"Reconciling accounts, financial reporting, and closing processes at the end of a financial period.",,
Supporting,3,1.3,Process Payment,"Executing payments to vendors, employees, and intercompany accounts through various financial systems.",,
Supporting,2,1.2,Tax Management,"Handling tax compliance, strategy, reporting, and optimization to ensure regulatory adherence and minimize liabilities.",,
Supporting,3,1.3,Corporate Income Tax,"Tax levied on a company's profits, typically calculated as a percentage of net earnings after allowable deductions.",,
Supporting,3,1.3,Indirect Tax Management,"Oversight of taxes that are applied to goods and services, such as VAT or sales tax, ensuring compliance and efficiency.",,
Supporting,3,1.3,Withholding Tax Management,"Administration of taxes withheld at the source from payments like salaries or dividends, ensuring proper reporting and remittance.",,
Supporting,3,1.3,Tax Advisory,"Professional guidance on tax laws, regulations, and strategies to optimize compliance and financial outcomes.",,
Supporting,3,1.3,Bis & Contract,"Likely refers to business and contract-related tax implications, including financial structuring and compliance strategies.",,
Supporting,2,1.2,Revenue Accounting,Recording and managing revenue transactions for accurate reporting.,,
Supporting,3,1.3,Customer Invoicing,Creating and sending billing statements to customers.,,
Supporting,3,1.3,Process Account Receivable,Tracking and processing incoming customer payments.,,
Supporting,3,1.3,Perform Period-End Activities,Closing the books with reconciliations and necessary adjustments.,,
Supporting,3,1.3,Manage & Process Collections,Following up on overdue payments to secure cash flow.,,
Supporting,3,1.3,Perform Revenue Assurance Activities,Verifying billing data to prevent revenue leakage.,,
Supporting,3,1.3,"Adjustment, Deduction & Dispute Management",Correcting invoices and resolving billing discrepancies or disputes.,,
Supporting,3,1.3,Perform Period-End Activities,"Reconciling accounts, financial reporting, and closing processes at the end of a financial period.",,
Supporting,2,1.2,Financial Risk Management and Compliance,"Recording, analyzing, and reconciling revenue streams to ensure financial integrity and accurate reporting.",,
Supporting,3,1.3,Financial Risk Assessment,Identifying and evaluating potential financial risks.,,
Supporting,3,1.3,Risk Mitigation Strategies,Implementing measures to reduce financial risk exposure.,,
Supporting,3,1.3,Financial Crisis Management,Developing plans to handle financial disruptions effectively.,,
Supporting,3,1.3,Internal Controls & Assurance,Establishing oversight mechanisms to ensure financial integrity.,,
Supporting,3,1.3,Reporting & Documentation,Maintaining detailed financial records for transparency and accountability.,,
Supporting,3,1.3,Regulatory Compliance Management,Ensuring adherence to financial regulations and industry standards.,,
Supporting,3,1.3,Financial Risk Determination,Identifying and mitigating financial risks while maintaining adherence to regulatory and governance standards.,,
Supporting,2,1.2,Procurement & Supplier Management,"Oversees the acquisition of goods and services and manages supplier relationships to ensure cost-effective, timely, and quality delivery that aligs with organisational needs.",,
Supporting,3,1.3,Procurement Strategy & Policy,Developing and optimising sourcing plans to align with business objectives and maximize value.,,
Supporting,3,1.3,Supplier Sourcing ,"Identifying, evaluating, and selecting suppliers based on criteria such as cost, quality, and reliability.",,
Supporting,3,1.3,Supplier Relationship Management,"Managing ongoing supplier engagement, performance evaluation, and collaboration to ensure effective partnerships.",,
Supporting,3,1.3,Contract Management,"Drafting, negotiating, and maintaining supplier agreements to ensure compliance and long-term value delivery.",,
Supporting,3,1.3,Purchase Order Processing,"Handling requisitions, approvals, and order placements efficiently to facilitate smooth procurement operations.",,
Supporting,3,1.3,Cost Management Optimisation,"Monitoring, analysing, and controlling procurement costs to maximize savings and financial efficiency.",,
Supporting,3,1.3,Procurement Risk & Compliance Management,"Ensuring procurement activities align with legal, ethical, and operational standards to mitigate risks.",,
Supporting,2,1.2,"Budgeting, Planning & Analysis",Develop financial plan and budget to guide resource allocation and support strategic decision-making.,,
Supporting,3,1.3,Budgeting,The process of estimating income and expenses over a specific period to ensure financial stability and goal alignment.,,
Supporting,3,1.3,Forecasting,"Predicting future financial outcomes based on historical data, market trends, and business expectations.",,
Supporting,3,1.3,Performance Management,Monitoring and analyzing key financial and operational metrics to enhance business efficiency and strategic decision-making.,,
Supporting,3,1.3,Cost Management,"Identifying, analyzing, and controlling expenses to optimize financial resources and improve profitability.",,
Supporting,3,1.3,Financial Analysis,"Evaluating financial data to assess business health, identify risks, and support strategic initiatives.",,
Supporting,3,1.3,Business Case Development,"Develop comprehensive business cases that evaluate potential investments by analysing cost, benefits, and risk to support financial decision-making.",,
Supporting,2,1.2,Category Management,"A strategic approach to procurement where spending is segmented into categories to optimize cost, supplier relationships, and efficiency",,
Supporting,3,1.3,Fuel,"A business expense related to fuel purchases for company vehicles, machinery, or equipment, often categorized under travel, maintenance, or job supplies.",,
Supporting,3,1.3,Equipment,"Financing or leasing of tangible business assets (excluding real estate) such as office furniture, machinery, medical equipment, and company vehicles.",,
Supporting,3,1.3,Professional Services,"Nonphysical services provided by individuals or firms, including consulting, auditing, financial management, and IT support.",,
Supporting,3,1.3,Transmission,Financial Transmission Rights (FTRs) are financial instruments used in electricity markets to hedge against congestion costs on the power grid.,,
Supporting,3,1.3,Field Services,"Work performed at a customer’s site rather than company premises, including installation, maintenance, and repairs.",,
Supporting,3,1.3,Direct vs Indirect Spend,"Direct spend relates to procurement of goods and services directly tied to production, while indirect spend covers operational expenses not directly involved in production.",,
,,,,,,
Supporting ,1,1.1,Property Portfolio Management ,The capability to strategically manage Ausgrid's property assets and facilities to support operational needs and optimize asset utilization.,,
Supporting,2,1.2,Accomodation Design & Construction,"Plan, design, and construct physical accommodation facilities (e.g., offices, housing, operational spaces) in alignment with organizational needs, compliance requirements, and sustainability goals.",,
Supporting,3,1.3,Architectural Planning,Designing the structure and layout of a facility.,,
Supporting,3,1.3,Space Optimisation,Maximizing the efficient use of space within a facility.,,
Supporting,3,1.3,Technology Integration,Incorporating new technologies into existing systems or structures.,,
Supporting,2,1.2,"Property Planning, Development & Configuration","Strategically plan and configure property assets, including land use and development projects, to support organizational growth, efficiency, and asset utilization.",,
Supporting,3,1.3,Assessment & Justification,Evaluating and providing reasons for the need for a facility or project.,,
Supporting,3,1.3,Negotiation & Acquisition,Negotiating terms and acquiring necessary resources.,,
Supporting,3,1.3,Site Selection & Evaluation,Choosing and assessing potential locations for a facility.,,
Supporting,3,1.3,Integration & Transition Planning,Planning the integration of new systems and managing transitions smoothly.,,
Supporting,3,1.3,Infrastructure Setup,"Establishing the basic physical systems needed for operation (e.g., power, water).",,
Supporting,3,1.3,Systems Integration,Ensuring different systems work together seamlessly within a facility.,,
Supporting,3,1.3,Change Management,"Managing changes in processes, structures, or technologies effectively.",,
Supporting,2,1.2,Property Performance Management,"Monitor and optimize property assets' financial, operational, and environmental performance to ensure efficiency, compliance, and value retention.",,
Supporting,3,1.3,Property Performance Threshold Setting,Defining acceptable performance levels for facility operations.,,
Supporting,3,1.3,Property Performance Threshold Measurement,Monitoring and measuring actual performance against set thresholds.,,
Supporting,3,1.3,Property Performance Constraint Determination,Identifying limitations or restrictions affecting facility performance.,,
Supporting,3,1.3,Property Information Management,Organizing and maintaining data related to facility operations and performance.,,
Supporting,2,1.2,Facility Maintenance & Operations ,This is an Outsourced capability in Ausgrid aimed at ensuring optimum performance of facilities (Ifrastructure sub-components),,
Supporting,3,1.3,Preventative Maintenance,Scheduled maintenance to prevent equipment or system failures.,,
Supporting,3,1.3,Reactive Maintenance,Unscheduled repairs in response to equipment or system failures.,,
Supporting,3,1.3,Operations Management,Overseeing daily facility functions to ensure smooth and efficient operations.,,
Supporting,2,1.2,Energy & Utilities Management,"Oversee procurement, usage, and optimization of energy and utility services to ensure sustainability, cost-efficiency, and continuity of operations.",,
Supporting,3,1.3,Energy Efficiency Management,Monitoring and improving energy use to reduce waste and costs.,,
Supporting,3,1.3,Sustainability Practices,Implementing environmentally responsible and resource-efficient practices.,,
Supporting,3,1.3,Renewable Energy Integration,Incorporating renewable energy sources into facility operations.,,
,,,,,,
Supporting ,1,1.1,Company Secretarial Management,"The Capability to manage Board related matters, Secretariat, board records, communication between directors and the executive",,
Supporting,2,1.2,Board Management,"Coordinate and support the effective functioning of the board of directors, including organizing meetings, preparing agendas and materials, maintaining board records, and facilitating communication between directors and executive leadership.",,
Supporting,3,1.3,Governance and Compliance,"Coordinate and support the effective functioning of the board of directors, including organizing meetings, preparing agendas and materials, maintaining board records, and facilitating communication between directors and executive leadership.",,
Supporting,3,1.3,Strategic Operational Oversight,Providing direction and monitoring to align operations with strategic goals and enhancing processes to maximize productivity and minimize waste.,,
Supporting,3,1.3,Corporate Administration Management,Managing relationships and communication with internal and external stakeholders.,,
Supporting,2,1.2,Audit and Reporting,"Plan, execute, and manage internal and external audits, and ensure accurate, timely financial and compliance reporting to stakeholders and regulatory bodies in accordance with applicable standards and laws.",,
Supporting,3,1.3,Reporting Management,"Creating, organizing, and distributing reports for internal and external use.",,
Supporting,3,1.3,Audit Management,"Planning, executing, and tracking audits to ensure accountability and compliance.",,
Supporting,3,1.3,Whistleblowing & Fraud Management,"Establish and manage confidential mechanisms for reporting unethical, illegal, or fraudulent behavior, while investigating and resolving allegations to protect organizational integrity, ensure compliance, and foster a culture of accountability.",,
,,,,,,
Supporting ,1,1.1,Legal Affair Management,"The capability to manage legal and regulatory matters, contracts, and compliance to protect Ausgrid's legal interests and ensure adherence to laws and regulations.",,
Supporting ,2,1.2,Legal Services & Operations Management,"Oversee and coordinate legal operations, ensuring efficient delivery of legal services, compliance, and risk mitigation across the organization.",,
Supporting ,3,1.3,Contract Negotiation Management,"Manage the negotiation of contracts, including drafting, negotiation, execution, and assisting business with renewal or termination.",,
Supporting ,3,1.3,Manage Legal Projects,"Plan, execute, and monitor legal initiatives, ensuring delivery within scope, time, and budget while aligning with legal and business objectives.",,
Supporting ,3,1.3,Provide Legal Advisory,"Deliver expert legal opinions and counsel to inform business decisions, manage risks, and advise on compliance with laws.",,
Supporting ,3,1.3,Manage Dispute & Litigation,"Handle legal disputes and litigation processes, including case assessment, strategy, representation, and resolution.",,
Supporting ,3,1.3,Applicable Laws & Regulations Monitoring,Track and analyze legislative and regulatory changes to ensure ongoing organizational compliance.,,
Supporting ,3,1.3,Legal Matter Management,"Organize and manage legal matters (including external engagement) such as cases, claims, or compliance issues for consistent tracking, documentation, and resolution.",,
Supporting ,3,1.3,Approval of Final Form Document,"Review and authorise the final version of a legal document to ensure compliance with legal, regulatory, and organisational standards.",,
Supporting ,2,1.2, Dispute & Investigation Management,"Address regulatory disputes by identifying issues, liaising with authorities, and supporting compliance and resolution efforts.",,
Supporting ,3,1.3,Dispute Identification & Assessment,Detect and evaluate potential disputes or legal risks to determine appropriate mitigation or legal action.,,
Supporting ,3,1.3,Dispute Resolution Strategy Development,Develop plans and tactics for resolving disputes efficiently while protecting organizational interests.,,
Supporting ,3,1.3,Regulatory Liaison & Communication,Act as a point of contact with regulatory bodies to facilitate communication and ensure regulatory expectations are met.,,
Supporting ,3,1.3,Legal & Compliance Support,Provide legal input and support to compliance functions to align with applicable regulations and corporate policies.,,
Supporting ,3,1.3,Documentation & Records Keeping,"Maintain comprehensive, secure, and accessible legal and regulatory documentation for audit and operational needs.",,
Supporting ,3,1.3,Continues Improvement & Preventation,Implement processes for learning from past disputes and compliance issues to enhance future performance and prevent recurrence.,,
Supporting ,2,1.2,Knowledge Management,"Develop, maintain, and leverage organizational legal knowledge to support decision-making, efficiency, and learning.",,
Supporting ,3,1.3,Manage Internal Knowledge,Organize and curate internal legal knowledge and precedents for easy access and reuse within the organization.,,
Supporting ,3,1.3,Manage External Knowledge,"Integrate external legal information, including case law, regulatory updates, and industry insights, into internal processes and facilitation of delivery of external expertise.",,
Supporting ,3,1.3,Continues Legal Education,Provide ongoing learning and development opportunities to internal staff to maintain competencies and meet regulatory requirements.,,
,,,,,,
Supporting ,1,1.1,Physical Security Management,"The capability to safeguard Ausgrid's physical assets, infrastructure, and personnel through effective security measures and protocols.",,
Supporting,2,1.2,Property Access Management,"Control and monitor access to physical properties and facilities, ensuring secure, authorized, and auditable entry for personnel, visitors, and contractors.",,
Supporting,3,1.3,Facility Access Constraint Definition,Establishing rules and parameters for who can access specific areas.,,
Supporting,3,1.3,Facility Access Constraint Interpretation,Understanding and applying access rules based on defined constraints.,,
Supporting,3,1.3,Facility Access Enforcement,Implementing and monitoring access control measures.,,
Supporting,3,1.3,Visitor Management,"Managing the registration, tracking, and access of visitors to the facility.",,
Supporting,2,1.2,Protective Security Management,"Implement and manage physical security measures to protect property, personnel, and assets from threats, ensuring resilience and compliance with safety standards.",,
Supporting,3,1.3,Security Operations,"Implement and manage physical security measures to protect property, personnel, and assets from threats, ensuring resilience and compliance with safety standards.",,
Supporting,3,1.3,Security Resourcing,Allocating and managing resources for security functions.,,
Supporting,3,1.3,Incident Management & Response,Handling and resolving security incidents effectively and efficiently.,,
,,,,,,
Supporting ,1,1.1,Supply Chain Management,"The capability to optimize the sourcing, procurement, and management of goods and services to support Ausgrid's operations and projects.",,
Supporting,2,1.2,Inventory Management & Logistics,"Oversee and control the ordering, storage, and movement of inventory across the supply chain.",,
Supporting,3,1.3,Execute Cross Docking & Drop Shipping,Implement logistics strategies that avoid storage by transferring goods directly or via third-party shipment.,,
Supporting,3,1.3,Execute Quality Control,Conduct inspections and testing to ensure products meet quality standards.,,
Supporting,3,1.3,Manage Local Logistics Data,"Maintain and govern regional logistics data including routes, facilities, and local compliance.",,
Supporting,3,1.3,Manage Physical Inventory,Track and reconcile stock through physical counts and automated systems.,,
Supporting,3,1.3,Record Returns Receipt,Log and process incoming product returns from customers or retailers.,,
Supporting,2,1.2,Manage Supply Planning,Develop and manage plans to balance supply with forecasted demand.,,
Supporting,3,1.3,Conduct Network Inventory Planning,Plan inventory distribution across the logistics network for efficiency and service level.,,
Supporting,3,1.3,Create Supply Plans,Generate detailed supply schedules aligned with demand and resource availability.,,
Supporting,3,1.3,Maintain Distribution Rules and Priorities,"Define and manage allocation logic, delivery priorities, and business rules for distribution.",,
Supporting,3,1.3,Maintain Supply Chain Models,"Develop and update models to simulate, analyze, and optimize supply chain operations.",,
Supporting,3,1.3,Manage Master Production Scheduling,Translate demand plans into master schedules to guide production activities.,,
Supporting,3,1.3,Manage Product Inventory Allocation,Allocate inventory to meet customer demand and service goals.,,
Supporting,2,1.2,Demand Planning,Forecast customer demand using historical data and market analysis.,,
Supporting,3,1.3,Execute Demand Planning,Operationalize the demand planning process and maintain forecast accuracy.,,
